"","category","total"
"1","OTHER BENEFIT",10
"2","PAIN",26
"3","GYNECOLOGIC",6
"4","NEUROLOGIC",10
"5","ENDOCRINE",10
"6","OTHER",10
"7","NONE",3
"8","DIGESTIVE",14
"9","PSYCHOLOGICAL",16
"10","NO BENEFIT",4
"11","HEADACHE",1
"12","INSOMNIA",1
"13","CANCER",1
"14","COGNITIVE",1
"15","PREGNANCY",1
"16","MANY",1
"17","NEUROLOGOIC",1
"18","DIGESIVE",1
"19","CIRCULATORY",3
"20","CARDIVASCULAR",3
"21","POSTURE",3
"22","CARDIOVASCULAR",1
"23","NEUROLOGICAL",1
"24","VARIOUS",0
"25","RESPIRATORY",0
"26","MANY BENEFITS",0
"27","CIRCULATION",0
"28","GENERAL",0
"29","SLEEP",0
"30","FATIGUE",0
"31","IMMUNE",0
"32","RELAXATION",0
"33","WELLNESS",0
"34","ENERGY",0
"35","STRESS",0
"36","GYNECOLOGY",0
"37","DERMATOLOGICAL",0
"38","EMOTIONAL",0
"39","PANACEA",0
"40","MIGRAINE",0
"41","PEDIATRICS",0
"42","PSYHCOLOGICAL",0
"43","SPIRITUAL",0
"44","BALANCE",0
"45","PAIN RELIEF",0
"46","MENTAL CLARITY",0
"47","HEALING",0
"48","IMPROVE IMMUNITY",0
"49","DETOX",0
"50","ANTI-AGING",0
"51","AIDS SLEEP",0
"52","REDUCE PAIN",0
"53","INCREASE ABILITY",0
"54","HAPPINESS",0
"55","RPSYCHOLOGICAL",0
"56","STRESS MANAGEMENT",0
"57","NERVOUS SYSTEM",0
"58","ENDOCTINE",0
"59","OTHER BENEFITS",0
"60","GYNECOLOGICAL",0
