"","category","total"
"1","INFORMATION",37
"2","SALES",9
"3","PROMOTE RESEARCH",2
"4","CONSENSUS",1
"5","PROFESSIONALIZATION",2
"6","QUALITY",4
"7","HISTORY",1
"8","TRAINING",2
"9","OTHER MOTIVATION",1
"10","TRAIN CLINICIANS",0
"11","HELP",0
"12","NETWORKING",0
"13","ACQUIRE PATIENTS",0
"14","DESCRIBE SERVICES OFFERED",0
"15","KNOWLEDGE REPOSITORY",0
"16","CULTURAL EXPERIENCE SHARING",0
"17","EDUCATION",0
"18","PSYCHOLOGICAL",0
"19","PAIN",0
"20","OTHER",0
"21","NONE",0
"22","OTHER MOTIVATIONS",0
