"","category","total"
"1","OTHER BENEFIT",2
"2","PAIN",5
"3","GYNECOLOGIC",2
"4","NEUROLOGIC",4
"5","ENDOCRINE",4
"6","OTHER",0
"7","NONE",2
"8","DIGESTIVE",6
"9","PSYCHOLOGICAL",4
"10","NO BENEFIT",9
"11","HEADACHE",0
"12","INSOMNIA",0
"13","CANCER",0
"14","COGNITIVE",0
"15","PREGNANCY",0
"16","MANY",0
"17","NEUROLOGOIC",0
"18","DIGESIVE",0
"19","CIRCULATORY",0
"20","CARDIVASCULAR",0
"21","POSTURE",0
"22","CARDIOVASCULAR",1
"23","NEUROLOGICAL",0
"24","VARIOUS",2
"25","RESPIRATORY",1
"26","MANY BENEFITS",7
"27","CIRCULATION",0
"28","GENERAL",0
"29","SLEEP",0
"30","FATIGUE",0
"31","IMMUNE",0
"32","RELAXATION",0
"33","WELLNESS",0
"34","ENERGY",0
"35","STRESS",0
"36","GYNECOLOGY",0
"37","DERMATOLOGICAL",0
"38","EMOTIONAL",0
"39","PANACEA",0
"40","MIGRAINE",0
"41","PEDIATRICS",0
"42","PSYHCOLOGICAL",0
"43","SPIRITUAL",0
"44","BALANCE",0
"45","PAIN RELIEF",0
"46","MENTAL CLARITY",0
"47","HEALING",0
"48","IMPROVE IMMUNITY",0
"49","DETOX",0
"50","ANTI-AGING",0
"51","AIDS SLEEP",0
"52","REDUCE PAIN",0
"53","INCREASE ABILITY",0
"54","HAPPINESS",0
"55","RPSYCHOLOGICAL",0
"56","STRESS MANAGEMENT",0
"57","NERVOUS SYSTEM",0
"58","ENDOCTINE",0
"59","OTHER BENEFITS",0
"60","GYNECOLOGICAL",0
