"","category","total"
"1","INFORMATION",30
"2","SALES",9
"3","PROMOTE RESEARCH",3
"4","CONSENSUS",0
"5","PROFESSIONALIZATION",7
"6","QUALITY",4
"7","HISTORY",3
"8","TRAINING",6
"9","OTHER MOTIVATION",0
"10","TRAIN CLINICIANS",0
"11","HELP",0
"12","NETWORKING",0
"13","ACQUIRE PATIENTS",0
"14","DESCRIBE SERVICES OFFERED",0
"15","KNOWLEDGE REPOSITORY",0
"16","CULTURAL EXPERIENCE SHARING",0
"17","EDUCATION",0
"18","PSYCHOLOGICAL",0
"19","PAIN",0
"20","OTHER",0
"21","NONE",0
"22","OTHER MOTIVATIONS",0
