"","category","total"
"1","OTHER BENEFIT",0
"2","PAIN",18
"3","GYNECOLOGIC",0
"4","NEUROLOGIC",0
"5","ENDOCRINE",3
"6","OTHER",2
"7","NONE",0
"8","DIGESTIVE",3
"9","PSYCHOLOGICAL",4
"10","NO BENEFIT",0
"11","HEADACHE",0
"12","INSOMNIA",0
"13","CANCER",0
"14","COGNITIVE",0
"15","PREGNANCY",0
"16","MANY",1
"17","NEUROLOGOIC",0
"18","DIGESIVE",0
"19","CIRCULATORY",0
"20","CARDIVASCULAR",0
"21","POSTURE",1
"22","CARDIOVASCULAR",2
"23","NEUROLOGICAL",2
"24","VARIOUS",0
"25","RESPIRATORY",0
"26","MANY BENEFITS",2
"27","CIRCULATION",3
"28","GENERAL",1
"29","SLEEP",1
"30","FATIGUE",1
"31","IMMUNE",2
"32","RELAXATION",2
"33","WELLNESS",5
"34","ENERGY",1
"35","STRESS",1
"36","GYNECOLOGY",1
"37","DERMATOLOGICAL",1
"38","EMOTIONAL",1
"39","PANACEA",0
"40","MIGRAINE",0
"41","PEDIATRICS",0
"42","PSYHCOLOGICAL",0
"43","SPIRITUAL",0
"44","BALANCE",0
"45","PAIN RELIEF",0
"46","MENTAL CLARITY",0
"47","HEALING",0
"48","IMPROVE IMMUNITY",0
"49","DETOX",0
"50","ANTI-AGING",0
"51","AIDS SLEEP",0
"52","REDUCE PAIN",0
"53","INCREASE ABILITY",0
"54","HAPPINESS",0
"55","RPSYCHOLOGICAL",0
"56","STRESS MANAGEMENT",0
"57","NERVOUS SYSTEM",0
"58","ENDOCTINE",0
"59","OTHER BENEFITS",0
"60","GYNECOLOGICAL",0
