"","category","total"
"1","INFORMATION",24
"2","SALES",12
"3","PROMOTE RESEARCH",0
"4","CONSENSUS",0
"5","PROFESSIONALIZATION",0
"6","QUALITY",0
"7","HISTORY",0
"8","TRAINING",0
"9","OTHER MOTIVATION",0
"10","TRAIN CLINICIANS",0
"11","HELP",0
"12","NETWORKING",0
"13","ACQUIRE PATIENTS",0
"14","DESCRIBE SERVICES OFFERED",0
"15","KNOWLEDGE REPOSITORY",0
"16","CULTURAL EXPERIENCE SHARING",0
"17","EDUCATION",0
"18","PSYCHOLOGICAL",0
"19","PAIN",0
"20","OTHER",0
"21","NONE",0
"22","OTHER MOTIVATIONS",0
