"","category","total"
"1","OTHER BENEFIT",3
"2","PAIN",8
"3","GYNECOLOGIC",0
"4","NEUROLOGIC",3
"5","ENDOCRINE",0
"6","OTHER",2
"7","NONE",7
"8","DIGESTIVE",2
"9","PSYCHOLOGICAL",10
"10","NO BENEFIT",5
"11","HEADACHE",0
"12","INSOMNIA",0
"13","CANCER",0
"14","COGNITIVE",0
"15","PREGNANCY",0
"16","MANY",3
"17","NEUROLOGOIC",0
"18","DIGESIVE",0
"19","CIRCULATORY",1
"20","CARDIVASCULAR",0
"21","POSTURE",0
"22","CARDIOVASCULAR",1
"23","NEUROLOGICAL",0
"24","VARIOUS",0
"25","RESPIRATORY",0
"26","MANY BENEFITS",0
"27","CIRCULATION",0
"28","GENERAL",1
"29","SLEEP",0
"30","FATIGUE",1
"31","IMMUNE",1
"32","RELAXATION",4
"33","WELLNESS",0
"34","ENERGY",0
"35","STRESS",0
"36","GYNECOLOGY",0
"37","DERMATOLOGICAL",0
"38","EMOTIONAL",0
"39","PANACEA",1
"40","MIGRAINE",1
"41","PEDIATRICS",1
"42","PSYHCOLOGICAL",1
"43","SPIRITUAL",2
"44","BALANCE",2
"45","PAIN RELIEF",1
"46","MENTAL CLARITY",1
"47","HEALING",2
"48","IMPROVE IMMUNITY",1
"49","DETOX",1
"50","ANTI-AGING",1
"51","AIDS SLEEP",1
"52","REDUCE PAIN",1
"53","INCREASE ABILITY",1
"54","HAPPINESS",1
"55","RPSYCHOLOGICAL",1
"56","STRESS MANAGEMENT",1
"57","NERVOUS SYSTEM",1
"58","ENDOCTINE",0
"59","OTHER BENEFITS",0
"60","GYNECOLOGICAL",0
