"","category","total"
"1","INFORMATION",21
"2","SALES",12
"3","PROMOTE RESEARCH",1
"4","CONSENSUS",0
"5","PROFESSIONALIZATION",1
"6","QUALITY",0
"7","HISTORY",2
"8","TRAINING",1
"9","OTHER MOTIVATION",0
"10","TRAIN CLINICIANS",1
"11","HELP",1
"12","NETWORKING",1
"13","ACQUIRE PATIENTS",1
"14","DESCRIBE SERVICES OFFERED",2
"15","KNOWLEDGE REPOSITORY",2
"16","CULTURAL EXPERIENCE SHARING",1
"17","EDUCATION",1
"18","PSYCHOLOGICAL",1
"19","PAIN",1
"20","OTHER",1
"21","NONE",1
"22","OTHER MOTIVATIONS",0
