"","category","total"
"1","PNEUMOTHORAX",0
"2","NONE",15
"3","VIRAL HEPATITIS",0
"4","BACTERIAL INFECTION",0
"5","DANGER",0
"6","BLEEDING",1
"7","BROKEN NEEDLE",0
"8","ORGAN PUNCTURE",0
"9","PAIN",0
"10","BLEED",0
"11","BRUISE",0
"12","DROWZINESS",0
"13","DIZZINESS",0
"14","WORSENING",0
"15","CONTAMINATED NEEDLES",0
"16","BRUISING",1
"17","NEEDLE BREAK",0
"18","PUNCTURED ORGAN",0
"19","CONTRAINDICATIONS",0
"20","IMPROPER",3
"21","MISINFORMATION",1
"22","MANY",0
"23","CONTAMINATION",0
"24","OTHER",5
"25","WORSE SYMPTOMS",0
"26","SORENESS",0
"27","FEW",0
"28","FLU LIKE SYMPTOMS",0
"29","BLOOD SUGAR IRREGULARITIES",0
"30","EVERYTHING",0
"31","STRAIN",1
"32","SYNCOPE",1
