"","category","total"
"1","PNEUMOTHORAX",4
"2","NONE",88
"3","VIRAL HEPATITIS",1
"4","BACTERIAL INFECTION",1
"5","DANGER",1
"6","BLEEDING",3
"7","BROKEN NEEDLE",1
"8","ORGAN PUNCTURE",1
"9","PAIN",4
"10","BLEED",1
"11","BRUISE",1
"12","DROWZINESS",1
"13","DIZZINESS",1
"14","WORSENING",1
"15","CONTAMINATED NEEDLES",1
"16","BRUISING",2
"17","NEEDLE BREAK",1
"18","PUNCTURED ORGAN",1
"19","CONTRAINDICATIONS",1
"20","IMPROPER",8
"21","MISINFORMATION",12
"22","MANY",1
"23","CONTAMINATION",2
"24","OTHER",8
"25","WORSE SYMPTOMS",1
"26","SORENESS",1
"27","FEW",2
"28","FLU LIKE SYMPTOMS",1
"29","BLOOD SUGAR IRREGULARITIES",1
"30","EVERYTHING",2
"31","STRAIN",1
"32","SYNCOPE",1
