"","category","total"
"1","INFORMATION",126
"2","SALES",61
"3","PROMOTE RESEARCH",6
"4","CONSENSUS",1
"5","PROFESSIONALIZATION",11
"6","QUALITY",8
"7","HISTORY",7
"8","TRAINING",12
"9","OTHER MOTIVATION",1
"10","TRAIN CLINICIANS",1
"11","HELP",1
"12","NETWORKING",1
"13","ACQUIRE PATIENTS",1
"14","DESCRIBE SERVICES OFFERED",2
"15","KNOWLEDGE REPOSITORY",2
"16","CULTURAL EXPERIENCE SHARING",1
"17","EDUCATION",1
"18","PSYCHOLOGICAL",1
"19","PAIN",1
"20","OTHER",1
"21","NONE",1
"22","OTHER MOTIVATIONS",1
